address,amount
0x92234af8ef2dd7cd28e7de63137f9bb7ed37dac0,38960469439620564
0x89bd8ebfd2d93fa469297d99ed36ac3a12bb5b78,35418598925206149
0x65d6e0beaae01021d6471ec87e60a3d1ff32e132,37484698910192825
0x1861ef2f60f952c7efb107f2d277f761c7387ce3,37189551885569850
0x99ba206082d566daeb7bff2e5a57e8a2df607a96,35418598925206149
0x93f4c8f670578f6d10bf8b77826f04e9c3a4b9e2,39427124644098944
0x3dbadc86d19416ec16d81aa07ff2609e6241e7e9,35418598925206149
0x2d9422b24f0c8f1c438fd61f5e3bb934d1caf468,35418598925206149
0xfd7b2400fe1fd266e11af6ee8ec0352d4fb52458,35418598925206149
0xb541a085342afd5bcd2898a0be368a80cdd21e19,35418598925206149
0x29601908c6e9edf2673c505f3a48c2fb15ea96fe,35418598925206149
0xbd6f4ec3011db92e8822f96d9beff9f0d0ff89f3,70837233256725166
0xadb39619d7c0a8cabb44560c683abe39b980ce8f,35418598925206149
0x5d9199e3daa5dd775d0e572a0c30511ee8857449,35418598925206149
0xa9a7648c5cb119811f556797b51e3f907e929f78,35418598925206149
0xe4bafe0ddfd1bc9f7b4b067b91e46c1ae968e1de,35418598925206149
0x4b36ded75681cd890877c70e0ba719510b37d184,35418598925206149
0x7c7c306c753cbb4e3dd0f1d4a18e8ab51c5edb21,35418598925206149
0x1f0f5d02ce4043615e7d540d80969bc5575b592b,53127916090965717
0x66878baf67c8a67127db7c3b67999fa431e4546c,35418598925206149
0x71a61084d15f5471ad396f8648f908eae404a5fe,35418598925206149
0xe25f364ef1fd700ff9ae425b268148e00fdc8e27,35418598925206149
0xc8e1f80e0acc99c2deb9393aa5e85c07ada33c63,35418598925206149
0xab828c55d89281a87515d8baddf7c544cd035685,53127916090965717
0xa53c541d155c06a6fc0b0d42ea26ad7414cf547b,35418598925206149
0x33a74ed005785a83295d3ebe7e9fee647c3b4246,40151927276183408
0xf330db6a0aa6489c5e05246ec0cecb84d6002c28,37189551885569850
0x323816fd9de97410c9b6b686f34a7b495eff5fe6,35418598925206149
0x6c41d9169d27c436edebc08b53dcabdf901816e5,35418598925206149
0x52579eae98a3a7ad23691f408a95559b44242d01,38960469439620564
0x05431cd62f011cb44ec803fe4ac96fac651ca494,35418598925206149
0xea795640e8ebd6ffec0b3b00b64486b785b59610,70837233256725166
0xea9a2ad45cd7d801b07af132a43ab572c28026d7,45099003538347009
0x1cab647aed688da43b1d38aa2027f35e5b61cde3,40977390055941073
0x5a641c6fd5a473395355816ebc757b067ccaabe5,38960469439620564
0xed32294c5e868a6239475ca967a9a90b0319a9f2,53127916090965717
0xa8f4a971e71bba82514e669075326c7a923ea6b8,35418598925206149
0x2ba829474ac766261633375ee002b2b75e775fdb,537045574305377094024
0x38f265e63eb374cc2d8ce37eab88b94570ba80b6,15020186135930731942
0x1e0f17d6dc9f6fd644ca0b614232d84d1d4a16db,2104814238926161413
0xf3eab2365c8689d7d429e9cf03c78b29f07907b1,531614352474208703
0x13dda63c28bb95fe9822fea43ad5feaa966636a9,70843570986740468
0x747811193cd339582929344c74e315339db57446,70837233256725166
0xa7e5a837382c4b2a484bd2afadc8b5a5f6d74e87,373196240573977492
0x7df3cc5d9bc1c575b0cab6b26e5798ea690865ee,35418598925206149
0x0af3ca86aedb50220c04db37ce5a79b6d17eca4d,35418598925206149
0x9faaa0efbe61bc445e1068ab1cd67f23b45d624f,70837197850412299
0xf85d965e9fd4607b000110253214f49231f0031a,35418598925206149
0xb22dfc8eb2f8c32e745e4bf6b9ca71c84c628ff5,70837233256725166
0x4c710b38199f589dd769d36ed52b6d0170cb83ee,35612979583217204
0x4c1df617de6edd32eb693755bb385108cc7c3a81,35418588925206147
